Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login_onlineHCMUE,Chrome 96.0.4664.45,,,2021-11-26 14:58:25,2021-11-26 15:00:55,"2m - 29,831s",FAILED
,,,,,,,
Test Cases/SP_Login_NoInput,Chrome 96.0.4664.45,,,2021-11-26 14:58:47,2021-11-26 14:58:52,"5,692s",FAILED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 14:58:47,2021-11-26 14:58:49,"2,668s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 14:58:49,2021-11-26 14:58:50,"0,666s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 14:58:50,2021-11-26 14:58:51,"1,114s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 14:58:51,2021-11-26 14:58:52,"0,580s",PASSED
"verifyTextPresent(""""Tên đăng nhập không tồn tại."""", false)",Chrome 96.0.4664.45,,,2021-11-26 14:58:52,2021-11-26 14:58:52,"0,645s",FAILED
,,,,,,,
Test Cases/SP_Login_NoPass,Chrome 96.0.4664.45,,,2021-11-26 14:59:27,2021-11-26 14:59:33,"6,327s",FAILED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 14:59:27,2021-11-26 14:59:29,"2,541s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 14:59:29,2021-11-26 14:59:30,"0,717s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 14:59:30,2021-11-26 14:59:31,"0,780s",PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""44.01.104.211"")",Chrome 96.0.4664.45,,,2021-11-26 14:59:31,2021-11-26 14:59:32,"0,861s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 14:59:32,2021-11-26 14:59:32,"0,632s",PASSED
"verifyTextPresent(""""Mật mã truy cập không chính xác."""", false)",Chrome 96.0.4664.45,,,2021-11-26 14:59:32,2021-11-26 14:59:33,"0,772s",FAILED
,,,,,,,
Test Cases/SP_Login_RightAcc,Chrome 96.0.4664.45,,,2021-11-26 14:59:33,2021-11-26 14:59:41,"8,347s",PASSED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 14:59:34,2021-11-26 14:59:37,"2,470s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 14:59:37,2021-11-26 14:59:38,"0,987s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 14:59:38,2021-11-26 14:59:38,"0,827s",PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""44.01.104.211"")",Chrome 96.0.4664.45,,,2021-11-26 14:59:38,2021-11-26 14:59:39,"0,842s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""LGHhr7uSq0gpWuZhEhehoA=="")",Chrome 96.0.4664.45,,,2021-11-26 14:59:39,2021-11-26 14:59:40,"0,627s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 14:59:40,2021-11-26 14:59:41,"0,758s",PASSED
closeBrowser(),Chrome 96.0.4664.45,,,2021-11-26 14:59:41,2021-11-26 14:59:41,"0,721s",PASSED
,,,,,,,
Test Cases/SP_Login_WrongPass,Chrome 96.0.4664.45,,,2021-11-26 15:00:15,2021-11-26 15:00:22,"6,783s",FAILED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 15:00:15,2021-11-26 15:00:17,"2,075s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 15:00:17,2021-11-26 15:00:18,"0,654s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 15:00:18,2021-11-26 15:00:19,"0,980s",PASSED
"doubleClick(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 15:00:19,2021-11-26 15:00:19,"0,649s",PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""44.01.104.211"")",Chrome 96.0.4664.45,,,2021-11-26 15:00:19,2021-11-26 15:00:20,"0,781s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""drzhCLP2K5I="")",Chrome 96.0.4664.45,,,2021-11-26 15:00:20,2021-11-26 15:00:21,"0,452s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 15:00:21,2021-11-26 15:00:21,"0,562s",PASSED
"verifyTextPresent(""""Mật mã truy cập không chính xác."""", false)",Chrome 96.0.4664.45,,,2021-11-26 15:00:21,2021-11-26 15:00:22,"0,611s",FAILED
,,,,,,,
Test Cases/SP_Login_WrongUsername,Chrome 96.0.4664.45,,,2021-11-26 15:00:47,2021-11-26 15:00:55,"8,018s",FAILED
"openBrowser("""")",Chrome 96.0.4664.45,,,2021-11-26 15:00:47,2021-11-26 15:00:50,"2,463s",PASSED
"navigateToUrl(""https://online.hcmue.edu.vn/"")",Chrome 96.0.4664.45,,,2021-11-26 15:00:50,2021-11-26 15:00:51,"1,422s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/a_ng nhp""))",Chrome 96.0.4664.45,,,2021-11-26 15:00:51,2021-11-26 15:00:52,"1,164s",PASSED
"setText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Tn ng nhp_ctl00ContentPlaceHolder1ctl_537cb7""), ""4401104211"")",Chrome 96.0.4664.45,,,2021-11-26 15:00:52,2021-11-26 15:00:53,"0,866s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_Mt m_ctl00ContentPlaceHolder1ctl00ctl_4544f5""), ""LGHhr7uSq0gpWuZhEhehoA=="")",Chrome 96.0.4664.45,,,2021-11-26 15:00:53,2021-11-26 15:00:54,"0,554s",PASSED
"click(findTestObject(""Object Repository/Page_UP Portal  HoChiMinh University of Pedagogy/input_S lng truy cp_ctl00ContentPlaceHolder_02f130""))",Chrome 96.0.4664.45,,,2021-11-26 15:00:54,2021-11-26 15:00:54,"0,916s",PASSED
"verifyTextPresent(""""Mật mã truy cập không chính xác."""", false)",Chrome 96.0.4664.45,,,2021-11-26 15:00:54,2021-11-26 15:00:55,"0,615s",FAILED
